date,total_usd_millions,cumulative_usd_millions
2024-12-18,2.500000000000009,2466.6999999999994
2024-12-19,-60.50000000000001,2406.1999999999994
2024-12-20,-75.10000000000001,2331.0999999999995
2024-12-21,0.0,2331.0999999999995
2024-12-22,0.0,2331.0999999999995
2024-12-23,130.8,2461.8999999999996
2024-12-24,53.6,2515.4999999999995
2024-12-25,0.0,2515.4999999999995
2024-12-26,117.2,2632.6999999999994
2024-12-27,47.7,2680.399999999999
2024-12-28,0.0,2680.399999999999
2024-12-29,0.0,2680.399999999999
2024-12-30,-55.5,2624.899999999999
2024-12-31,36.0,2660.899999999999
2025-01-01,0.0,2660.899999999999
2025-01-02,-77.5,2583.399999999999
2025-01-03,58.9,2642.2999999999993
2025-01-04,0.0,2642.2999999999993
2025-01-05,0.0,2642.2999999999993
2025-01-06,128.7,2770.999999999999
2025-01-07,-86.8,2684.199999999999
2025-01-08,-159.4,2524.799999999999
2025-01-09,0.0,2524.799999999999
2025-01-10,-68.5,2456.299999999999
2025-01-11,0.0,2456.299999999999
2025-01-12,0.0,2456.299999999999
2025-01-13,-39.4,2416.8999999999987
2025-01-14,1.2,2418.0999999999985
2025-01-15,59.7,2477.7999999999984
2025-01-16,166.6,2644.3999999999983
2025-01-17,23.9,2668.2999999999984
2025-01-18,0.0,2668.2999999999984
2025-01-19,0.0,2668.2999999999984
2025-01-20,0.0,2668.2999999999984
2025-01-21,74.4,2742.6999999999985
2025-01-22,70.69999999999999,2813.3999999999983
2025-01-23,-14.9,2798.499999999998
2025-01-24,9.2,2807.699999999998
2025-01-25,0.0,2807.699999999998
2025-01-26,0.0,2807.699999999998
2025-01-27,-136.2,2671.499999999998
2025-01-28,0.0,2671.499999999998
2025-01-29,-4.699999999999999,2666.7999999999984
2025-01-30,67.80000000000001,2734.5999999999985
2025-01-31,27.799999999999997,2762.3999999999987
2025-02-01,0.0,2762.3999999999987
2025-02-02,0.0,2762.3999999999987
2025-02-03,83.60000000000001,2845.9999999999986
2025-02-04,307.8,3153.799999999999
2025-02-05,18.1,3171.8999999999987
2025-02-06,10.7,3182.5999999999985
2025-02-07,0.0,3182.5999999999985
2025-02-08,0.0,3182.5999999999985
2025-02-09,0.0,3182.5999999999985
2025-02-10,-22.5,3160.0999999999985
2025-02-11,12.6,3172.6999999999985
2025-02-12,-40.9,3131.7999999999984
2025-02-13,12.8,3144.5999999999985
2025-02-14,11.7,3156.2999999999984
2025-02-15,0.0,3156.2999999999984
2025-02-16,0.0,3156.2999999999984
2025-02-17,0.0,3156.2999999999984
2025-02-18,4.6,3160.8999999999983
2025-02-19,19.0,3179.8999999999983
2025-02-20,-13.100000000000001,3166.7999999999984
2025-02-21,-8.9,3157.8999999999983
2025-02-22,0.0,3157.8999999999983
2025-02-23,0.0,3157.8999999999983
2025-02-24,-78.00000000000001,3079.8999999999983
2025-02-25,-50.099999999999994,3029.7999999999984
2025-02-26,-94.29999999999998,2935.499999999998
2025-02-27,-71.2,2864.2999999999984
2025-02-28,-41.9,2822.3999999999983
2025-03-01,0.0,2822.3999999999983
2025-03-02,0.0,2822.3999999999983
2025-03-03,-12.100000000000001,2810.2999999999984
2025-03-04,14.599999999999998,2824.8999999999983
2025-03-05,-63.3,2761.599999999998
2025-03-06,-10.0,2751.599999999998
2025-03-07,-23.1,2728.499999999998
2025-03-08,0.0,2728.499999999998
2025-03-09,0.0,2728.499999999998
2025-03-10,-37.5,2690.999999999998
2025-03-11,-21.6,2669.3999999999983
2025-03-12,-10.3,2659.099999999998
2025-03-13,-73.60000000000001,2585.499999999998
2025-03-14,-46.9,2538.599999999998
2025-03-15,0.0,2538.599999999998
2025-03-16,0.0,2538.599999999998
2025-03-17,-7.3,2531.299999999998
2025-03-18,-52.8,2478.4999999999977
2025-03-19,-11.700000000000003,2466.799999999998
2025-03-20,-12.5,2454.299999999998
2025-03-21,-18.6,2435.699999999998
2025-03-22,0.0,2435.699999999998
2025-03-23,0.0,2435.699999999998
2025-03-24,0.0,2435.699999999998
2025-03-25,-3.3,2432.399999999998
2025-03-26,-5.9,2426.4999999999977
2025-03-27,-4.2,2422.299999999998
2025-03-28,4.7,2426.9999999999977
2025-03-29,0.0,2426.9999999999977
2025-03-30,0.0,2426.9999999999977
2025-03-31,6.4,2433.399999999998
2025-04-01,-3.6000000000000005,2429.799999999998
2025-04-02,-51.3,2378.4999999999977
2025-04-03,-3.6,2374.899999999998
2025-04-04,2.1,2376.9999999999977
2025-04-05,0.0,2376.9999999999977
2025-04-06,0.0,2376.9999999999977
2025-04-07,0.0,2376.9999999999977
2025-04-08,-3.3,2373.6999999999975
2025-04-09,-11.2,2362.4999999999977
2025-04-10,-38.8,2323.6999999999975
2025-04-11,-29.200000000000003,2294.4999999999977
2025-04-12,0.0,2294.4999999999977
2025-04-13,0.0,2294.4999999999977
2025-04-14,-6.0,2288.4999999999977
2025-04-15,-14.2,2274.299999999998
2025-04-16,-12.099999999999998,2262.199999999998
2025-04-17,0.0,2262.199999999998
2025-04-18,0.0,2262.199999999998
2025-04-19,0.0,2262.199999999998
2025-04-20,0.0,2262.199999999998
2025-04-21,-25.4,2236.799999999998
2025-04-22,38.800000000000004,2275.599999999998
2025-04-23,-23.9,2251.699999999998
2025-04-24,63.5,2315.199999999998
2025-04-25,104.1,2419.299999999998
2025-04-26,0.0,2419.299999999998
2025-04-27,0.0,2419.299999999998
2025-04-28,64.1,2483.399999999998
2025-04-29,18.4,2501.799999999998
2025-04-30,-2.3,2499.4999999999977
2025-05-01,6.5,2505.9999999999977
2025-05-02,20.1,2526.0999999999976
2025-05-03,0.0,2526.0999999999976
2025-05-04,0.0,2526.0999999999976
2025-05-05,0.0,2526.0999999999976
2025-05-06,-17.9,2508.1999999999975
2025-05-07,-21.8,2486.3999999999974
2025-05-08,-16.1,2470.2999999999975
2025-05-09,17.6,2487.8999999999974
2025-05-10,0.0,2487.8999999999974
2025-05-11,0.0,2487.8999999999974
2025-05-12,-17.6,2470.2999999999975
2025-05-13,13.5,2483.7999999999975
2025-05-14,63.5,2547.2999999999975
2025-05-15,-39.800000000000004,2507.4999999999973
2025-05-16,22.2,2529.699999999997
2025-05-17,0.0,2529.699999999997
2025-05-18,0.0,2529.699999999997
2025-05-19,13.7,2543.399999999997
2025-05-20,64.8,2608.199999999997
2025-05-21,0.5999999999999979,2608.799999999997
2025-05-22,110.5,2719.299999999997
2025-05-23,58.599999999999994,2777.899999999997
2025-05-24,0.0,2777.899999999997
2025-05-25,0.0,2777.899999999997
2025-05-26,0.0,2777.899999999997
2025-05-27,38.8,2816.699999999997
2025-05-28,84.9,2901.599999999997
2025-05-29,91.89999999999999,2993.4999999999973
2025-05-30,70.2,3063.699999999997
2025-05-31,0.0,3063.699999999997
2025-06-01,0.0,3063.699999999997
2025-06-02,78.2,3141.899999999997
2025-06-03,109.5,3251.399999999997
2025-06-04,57.0,3308.399999999997
2025-06-05,11.300000000000004,3319.699999999997
2025-06-06,25.3,3344.9999999999973
2025-06-07,0.0,3344.9999999999973
2025-06-08,0.0,3344.9999999999973
2025-06-09,52.7,3397.699999999997
2025-06-10,125.0,3522.699999999997
2025-06-11,240.29999999999998,3762.9999999999973
2025-06-12,112.3,3875.2999999999975
2025-06-13,-2.1000000000000005,3873.1999999999975
2025-06-14,0.0,3873.1999999999975
2025-06-15,0.0,3873.1999999999975
2025-06-16,21.400000000000002,3894.5999999999976
2025-06-17,11.100000000000005,3905.6999999999975
2025-06-18,19.1,3924.7999999999975
2025-06-19,0.0,3924.7999999999975
2025-06-20,-11.299999999999999,3913.4999999999973
2025-06-21,0.0,3913.4999999999973
2025-06-22,0.0,3913.4999999999973
2025-06-23,100.7,4014.199999999997
2025-06-24,71.3,4085.4999999999973
2025-06-25,60.400000000000006,4145.899999999997
2025-06-26,-26.4,4119.499999999997
2025-06-27,77.5,4196.999999999997
2025-06-28,0.0,4196.999999999997
2025-06-29,0.0,4196.999999999997
2025-06-30,31.799999999999997,4228.799999999997
2025-07-01,40.699999999999996,4269.499999999997
2025-07-02,-1.8999999999999968,4267.599999999998
2025-07-03,148.5,4416.099999999998
2025-07-04,0.0,4416.099999999998
2025-07-05,0.0,4416.099999999998
2025-07-06,0.0,4416.099999999998
2025-07-07,62.1,4478.199999999998
2025-07-08,46.7,4524.899999999998
2025-07-09,211.29999999999998,4736.199999999998
2025-07-10,383.09999999999997,5119.299999999998
2025-07-11,204.89999999999998,5324.199999999998
2025-07-12,0.0,5324.199999999998
2025-07-13,0.0,5324.199999999998
2025-07-14,259.0,5583.199999999998
2025-07-15,192.29999999999998,5775.499999999998
2025-07-16,726.6000000000001,6502.0999999999985
2025-07-17,602.0,7104.0999999999985
2025-07-18,402.50000000000006,7506.5999999999985
2025-07-19,0.0,7506.5999999999985
2025-07-20,0.0,7506.5999999999985
2025-07-21,296.5,7803.0999999999985
2025-07-22,533.8,8336.899999999998
2025-07-23,332.20000000000005,8669.099999999999
2025-07-24,231.20000000000002,8900.3
2025-07-25,452.8,9353.099999999999
2025-07-26,0.0,9353.099999999999
2025-07-27,0.0,9353.099999999999
2025-07-28,65.19999999999999,9418.3
2025-07-29,218.6,9636.9
2025-07-30,5.8,9642.699999999999
2025-07-31,16.999999999999996,9659.699999999999
2025-08-01,-152.3,9507.4
2025-08-02,0.0,9507.4
2025-08-03,0.0,9507.4
2025-08-04,-465.1,9042.3
2025-08-05,73.29999999999998,9115.599999999999
2025-08-06,35.099999999999994,9150.699999999999
2025-08-07,222.30000000000004,9372.999999999998
2025-08-08,461.0,9833.999999999998
2025-08-09,0.0,9833.999999999998
2025-08-10,0.0,9833.999999999998
2025-08-11,1018.7999999999998,10852.799999999997
2025-08-12,523.9,11376.699999999997
2025-08-13,729.0999999999998,12105.799999999997
2025-08-14,639.6,12745.399999999998
2025-08-15,-59.29999999999996,12686.099999999999
2025-08-16,0.0,12686.099999999999
2025-08-17,0.0,12686.099999999999
2025-08-18,-196.60000000000002,12489.499999999998
2025-08-19,-429.6,12059.899999999998
2025-08-20,-240.20000000000002,11819.699999999997
2025-08-21,287.59999999999997,12107.299999999997
2025-08-22,341.2,12448.499999999998
2025-08-23,0.0,12448.499999999998
2025-08-24,0.0,12448.499999999998
2025-08-25,443.9,12892.399999999998
2025-08-26,455.00000000000006,13347.399999999998
2025-08-27,309.50000000000006,13656.899999999998
2025-08-28,39.099999999999994,13695.999999999998
2025-08-29,-164.60000000000002,13531.399999999998
