date,Blackrock ETHA 0.25%,Fidelity FETH 0.25%,Bitwise ETHW 0.20%,21 Shares TETH 0.21%,VanEck ETHV 0.20%,Invesco QETH 0.25%,Franklin EZET 0.19%,Grayscale ETHE 2.50%,Grayscale ETH 0.15%,Total Unnamed: 10_level_1 Unnamed: 10_level_2,Total
2024-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-23,89.5,46.4,1.0,0.0,0.0,0.0,0.0,0.0,-6.1,130.8,261.6
2024-12-24,43.9,3.5,6.2,0.0,0.0,0.0,0.0,0.0,0.0,53.6,107.2
2024-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-26,28.2,83.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,117.2,234.4
2024-12-27,20.2,27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.7,95.4
2024-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-30,0.0,-20.4,0.0,0.0,0.0,0.0,-3.9,-17.4,-13.8,-55.5,-111.0
2024-12-31,0.0,31.8,0.0,0.0,0.0,0.0,0.0,-5.6,9.8,36.0,72.0
2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-02,0.0,0.0,-56.1,0.0,0.0,0.0,0.0,-21.4,0.0,-77.5,-155.0
2025-01-03,33.9,27.1,0.0,0.0,0.0,0.0,0.0,-7.2,5.1,58.9,117.8
2025-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-06,124.1,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.7,257.4
2025-01-07,0.0,-67.6,0.0,0.0,0.0,0.0,0.0,-8.0,-11.2,-86.8,-173.6
2025-01-08,0.0,-147.7,0.0,0.0,0.0,0.0,0.0,-8.3,-3.4,-159.4,-318.8
2025-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-10,0.0,-65.4,-3.1,0.0,0.0,0.0,0.0,0.0,0.0,-68.5,-137.0
2025-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-13,12.9,0.0,0.0,0.0,0.0,0.0,0.0,-14.5,-37.8,-39.4,-78.8
2025-01-14,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.2,2.4
2025-01-15,19.8,29.3,0.0,0.0,2.5,0.0,0.0,0.0,8.1,59.7,119.4
2025-01-16,111.2,70.0,0.0,0.0,0.0,0.0,0.0,-18.7,4.1,166.6,333.2
2025-01-17,7.4,14.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,23.9,47.8
2025-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-21,56.3,3.3,3.1,0.0,3.6,0.0,0.0,-4.4,12.5,74.4,148.8
2025-01-22,79.1,9.0,0.0,0.0,0.0,0.0,0.0,-17.4,0.0,70.7,141.39999999999998
2025-01-23,0.0,7.3,-3.0,0.0,0.0,0.0,0.0,-22.3,3.1,-14.9,-29.8
2025-01-24,0.0,0.0,6.0,1.2,0.0,2.0,0.0,0.0,0.0,9.2,18.4
2025-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-27,20.7,-68.5,-4.2,0.0,0.0,0.0,0.0,-84.2,0.0,-136.2,-272.4
2025-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-29,9.5,5.5,-4.0,0.0,0.0,0.0,0.0,-15.7,0.0,-4.7,-9.399999999999999
2025-01-30,79.9,15.4,0.0,0.0,0.0,0.0,0.0,-40.3,12.8,67.8,135.60000000000002
2025-01-31,57.3,0.0,0.0,0.0,2.4,0.0,0.0,-31.9,0.0,27.8,55.599999999999994
2025-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-03,0.0,49.7,0.0,5.2,0.0,0.0,0.0,15.9,12.8,83.6,167.2
2025-02-04,276.2,27.5,4.1,0.0,0.0,0.0,0.0,0.0,0.0,307.8,615.6
2025-02-05,0.0,20.1,0.0,0.0,0.0,0.0,0.0,-7.2,5.2,18.1,36.2
2025-02-06,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,21.4
2025-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.5,0.0,-22.5,-45.0
2025-02-11,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,25.2
2025-02-12,0.0,-10.7,0.0,0.0,0.0,0.0,0.0,-30.2,0.0,-40.9,-81.8
2025-02-13,12.0,4.6,0.0,0.0,0.0,0.0,0.0,-3.8,0.0,12.8,25.6
2025-02-14,0.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,23.4
2025-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-18,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,9.2
2025-02-19,0.0,24.5,0.0,0.0,0.0,0.0,0.0,-5.5,0.0,19.0,38.0
2025-02-20,0.0,-2.8,0.0,0.0,0.0,0.0,0.0,-10.3,0.0,-13.1,-26.200000000000003
2025-02-21,0.0,0.0,-8.9,0.0,0.0,0.0,0.0,0.0,0.0,-8.9,-17.8
2025-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-24,-48.2,0.0,-9.7,0.0,0.0,0.0,0.0,-15.4,-4.7,-78.0,-156.0
2025-02-25,0.0,-12.5,-8.2,0.0,0.0,0.0,0.0,-27.1,-2.3,-50.1,-100.19999999999999
2025-02-26,-69.8,-18.4,-2.8,0.0,0.0,0.0,0.0,-3.3,0.0,-94.3,-188.59999999999997
2025-02-27,-26.1,-25.5,0.0,0.0,0.0,0.0,0.0,-19.6,0.0,-71.2,-142.4
2025-02-28,-30.2,0.0,0.0,0.0,0.0,0.0,0.0,-11.7,0.0,-41.9,-83.8
2025-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
