date,Blackrock ETHA 0.25%,Fidelity FETH 0.25%,Bitwise ETHW 0.20%,21 Shares TETH 0.21%,VanEck ETHV 0.20%,Invesco QETH 0.25%,Franklin EZET 0.19%,Grayscale ETHE 2.50%,Grayscale ETH 0.15%,Total Unnamed: 10_level_1 Unnamed: 10_level_2,Total
2025-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03,-16.1,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.1,-24.200000000000003
2025-03-04,-26.3,21.7,0.0,0.0,0.0,0.0,0.0,10.7,8.5,14.6,29.199999999999996
2025-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63.3,0.0,-63.3,-126.6
2025-03-06,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,-20.0
2025-03-07,-11.2,-11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.1,-46.2
2025-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-10,0.0,-23.7,-1.6,-3.5,0.0,0.0,0.0,-4.8,-3.9,-37.5,-75.0
2025-03-11,-11.8,-9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.6,-43.2
2025-03-12,0.0,-3.7,0.0,-1.7,0.0,0.0,-1.4,0.0,-3.5,-10.3,-20.6
2025-03-13,-15.1,-12.5,0.0,-0.5,1.4,0.0,0.0,-41.7,-5.2,-73.6,-147.2
2025-03-14,-36.4,-11.6,0.0,0.0,0.0,1.1,0.0,0.0,0.0,-46.9,-93.8
2025-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.3,0.0,-7.3,-14.6
2025-03-18,-40.2,-3.3,0.0,0.0,0.0,0.0,0.0,0.0,-9.3,-52.8,-105.6
2025-03-19,-12.9,-2.0,0.0,0.7,0.0,0.0,0.0,10.2,-7.7,-11.7,-23.400000000000002
2025-03-20,-9.0,-3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.5,-25.0
2025-03-21,-11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.7,-18.6,-37.2
2025-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-25,0.0,0.0,0.0,0.0,0.0,-1.5,0.0,0.0,-1.8,-3.3,-6.6
2025-03-26,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.9,-5.9,-11.8
