date,total_usd_millions,cumulative_usd_millions
2024-06-27,11.8,14453.699999999993
2024-06-28,73.0,14526.699999999993
2024-06-29,0.0,14526.699999999993
2024-06-30,0.0,14526.699999999993
2024-07-01,129.5,14656.199999999993
2024-07-02,-13.7,14642.499999999993
2024-07-03,-20.5,14621.999999999993
2024-07-04,0.0,14621.999999999993
2024-07-05,143.1,14765.099999999993
2024-07-06,0.0,14765.099999999993
2024-07-07,0.0,14765.099999999993
2024-07-08,294.8,15059.899999999992
2024-07-09,216.4,15276.299999999992
2024-07-10,147.4,15423.699999999992
2024-07-11,78.9,15502.599999999991
2024-07-12,310.1,15812.699999999992
2024-07-13,0.0,15812.699999999992
2024-07-14,0.0,15812.699999999992
2024-07-15,300.9,16113.599999999991
2024-07-16,422.5,16536.09999999999
2024-07-17,53.3,16589.39999999999
2024-07-18,37.2,16626.59999999999
2024-07-19,427.2,17053.799999999992
2024-07-20,0.0,17053.799999999992
2024-07-21,0.0,17053.799999999992
2024-07-22,485.9,17539.699999999993
2024-07-23,-78.0,17461.699999999993
2024-07-24,44.5,17506.199999999993
2024-07-25,31.1,17537.299999999992
2024-07-26,51.8,17589.09999999999
2024-07-27,0.0,17589.09999999999
2024-07-28,0.0,17589.09999999999
2024-07-29,124.1,17713.19999999999
2024-07-30,-18.3,17694.89999999999
2024-07-31,0.3,17695.19999999999
2024-08-01,50.6,17745.79999999999
2024-08-02,-237.4,17508.399999999987
2024-08-03,0.0,17508.399999999987
2024-08-04,0.0,17508.399999999987
2024-08-05,-168.4,17339.999999999985
2024-08-06,-148.6,17191.399999999987
2024-08-07,45.1,17236.499999999985
2024-08-08,194.6,17431.099999999984
2024-08-09,-89.7,17341.399999999983
2024-08-10,0.0,17341.399999999983
2024-08-11,0.0,17341.399999999983
2024-08-12,27.8,17369.199999999983
2024-08-13,39.0,17408.199999999983
2024-08-14,-81.4,17326.79999999998
2024-08-15,11.1,17337.89999999998
2024-08-16,35.9,17373.79999999998
2024-08-17,0.0,17373.79999999998
2024-08-18,0.0,17373.79999999998
2024-08-19,62.1,17435.89999999998
2024-08-20,88.0,17523.89999999998
2024-08-21,39.5,17563.39999999998
2024-08-22,64.8,17628.19999999998
2024-08-23,252.0,17880.19999999998
2024-08-24,0.0,17880.19999999998
2024-08-25,0.0,17880.19999999998
2024-08-26,202.6,18082.799999999977
2024-08-27,-127.1,17955.69999999998
2024-08-28,-105.3,17850.39999999998
2024-08-29,-71.8,17778.59999999998
2024-08-30,-175.6,17602.99999999998
2024-08-31,0.0,17602.99999999998
2024-09-01,0.0,17602.99999999998
2024-09-02,0.0,17602.99999999998
2024-09-03,-287.8,17315.199999999983
2024-09-04,-37.2,17277.99999999998
2024-09-05,-211.1,17066.899999999983
2024-09-06,-170.0,16896.899999999983
2024-09-07,0.0,16896.899999999983
2024-09-08,0.0,16896.899999999983
2024-09-09,28.6,16925.49999999998
2024-09-10,117.0,17042.49999999998
2024-09-11,-43.9,16998.59999999998
2024-09-12,39.0,17037.59999999998
2024-09-13,263.2,17300.79999999998
2024-09-14,0.0,17300.79999999998
2024-09-15,0.0,17300.79999999998
2024-09-16,12.8,17313.59999999998
2024-09-17,186.8,17500.39999999998
2024-09-18,-52.7,17447.69999999998
2024-09-19,158.3,17605.999999999978
2024-09-20,92.0,17697.999999999978
2024-09-21,0.0,17697.999999999978
2024-09-22,0.0,17697.999999999978
2024-09-23,4.5,17702.499999999978
2024-09-24,136.0,17838.499999999978
2024-09-25,105.9,17944.39999999998
2024-09-26,365.7,18310.09999999998
2024-09-27,494.4,18804.49999999998
2024-09-28,0.0,18804.49999999998
2024-09-29,0.0,18804.49999999998
2024-09-30,61.3,18865.79999999998
2024-10-01,-242.6,18623.199999999983
2024-10-02,-91.7,18531.49999999998
2024-10-03,-54.2,18477.29999999998
2024-10-04,25.6,18502.89999999998
2024-10-05,0.0,18502.89999999998
2024-10-06,0.0,18502.89999999998
2024-10-07,235.2,18738.09999999998
2024-10-08,-18.6,18719.49999999998
2024-10-09,-40.6,18678.899999999983
2024-10-10,-120.8,18558.099999999984
2024-10-11,253.6,18811.699999999983
2024-10-12,0.0,18811.699999999983
2024-10-13,0.0,18811.699999999983
2024-10-14,555.9,19367.599999999984
2024-10-15,371.0,19738.599999999984
